Threads;NImgs;RowsFilter;executionTime
1;1;7;1074,480
1;1;7;1063,702
1;1;7;1059,571
1;1;7;1067,632
1;1;7;1080,739
2;1;7;536,253
2;1;7;535,553
2;1;7;531,868
2;1;7;544,968
2;1;7;532,436
3;1;7;370,803
3;1;7;369,229
3;1;7;394,818
3;1;7;363,603
3;1;7;366,652
4;1;7;295,919
4;1;7;313,017
4;1;7;294,284
4;1;7;288,486
4;1;7;309,662
5;1;7;276,867
5;1;7;257,105
5;1;7;270,923
5;1;7;264,425
5;1;7;271,881
6;1;7;240,321
6;1;7;233,545
6;1;7;235,513
6;1;7;230,263
6;1;7;228,889
7;1;7;199,035
7;1;7;190,803
7;1;7;207,274
7;1;7;197,782
7;1;7;203,191
8;1;7;193,101
8;1;7;185,867
8;1;7;187,461
8;1;7;189,280
8;1;7;177,236
9;1;7;182,199
9;1;7;172,274
9;1;7;177,515
9;1;7;190,900
9;1;7;197,353
10;1;7;182,635
10;1;7;177,995
10;1;7;182,646
10;1;7;174,963
10;1;7;169,456
11;1;7;178,900
11;1;7;177,826
11;1;7;181,364
11;1;7;175,074
11;1;7;175,006
12;1;7;180,668
12;1;7;180,161
12;1;7;178,051
12;1;7;172,095
12;1;7;171,974
13;1;7;169,868
13;1;7;170,945
13;1;7;167,532
13;1;7;167,030
13;1;7;171,200
14;1;7;163,649
14;1;7;164,327
14;1;7;165,281
14;1;7;167,569
14;1;7;162,240
15;1;7;151,645
15;1;7;174,835
15;1;7;156,477
15;1;7;159,126
15;1;7;158,425
16;1;7;151,124
16;1;7;157,435
16;1;7;149,124
16;1;7;153,113
16;1;7;169,593
17;1;7;157,238
17;1;7;153,944
17;1;7;150,725
17;1;7;151,763
17;1;7;154,037
18;1;7;159,370
18;1;7;150,869
18;1;7;150,713
18;1;7;154,150
18;1;7;153,397
19;1;7;163,164
19;1;7;160,356
19;1;7;151,165
19;1;7;154,863
19;1;7;154,324
20;1;7;162,563
20;1;7;155,566
20;1;7;156,144
20;1;7;152,857
20;1;7;155,608
21;1;7;157,710
21;1;7;160,550
21;1;7;154,154
21;1;7;157,890
21;1;7;154,711
22;1;7;162,024
22;1;7;152,603
22;1;7;154,817
22;1;7;154,305
22;1;7;152,347
