Threads;NImgs;RowsFilter;executionTime
1;5;7;5313,056
1;5;7;5287,350
1;5;7;5296,156
1;5;7;5306,264
1;5;7;5263,286
2;5;7;2744,861
2;5;7;2675,879
2;5;7;2727,921
2;5;7;2707,039
2;5;7;2678,088
3;5;7;1886,201
3;5;7;1923,389
3;5;7;1847,389
3;5;7;1878,769
3;5;7;1866,825
4;5;7;1664,577
4;5;7;1624,071
4;5;7;1600,245
4;5;7;1661,489
4;5;7;1642,459
5;5;7;1539,507
5;5;7;1525,386
5;5;7;1415,864
5;5;7;1438,289
5;5;7;1462,183
6;5;7;1385,291
6;5;7;1393,449
6;5;7;1422,434
6;5;7;1391,887
6;5;7;1383,944
7;5;7;1121,501
7;5;7;1069,640
7;5;7;1132,370
7;5;7;1178,044
7;5;7;1054,373
8;5;7;953,765
8;5;7;993,177
8;5;7;1015,664
8;5;7;991,532
8;5;7;1013,858
9;5;7;920,413
9;5;7;937,916
9;5;7;941,390
9;5;7;957,023
9;5;7;933,494
10;5;7;883,450
10;5;7;920,765
10;5;7;874,713
10;5;7;904,552
10;5;7;888,712
11;5;7;817,465
11;5;7;860,389
11;5;7;867,680
11;5;7;853,439
11;5;7;856,077
12;5;7;841,065
12;5;7;831,164
12;5;7;823,906
12;5;7;821,121
12;5;7;845,761
13;5;7;810,144
13;5;7;807,983
13;5;7;800,143
13;5;7;803,191
13;5;7;797,303
14;5;7;764,045
14;5;7;763,352
14;5;7;779,825
14;5;7;776,855
14;5;7;776,695
15;5;7;751,286
15;5;7;737,846
15;5;7;740,822
15;5;7;748,646
15;5;7;760,228
16;5;7;733,136
16;5;7;732,586
16;5;7;740,185
16;5;7;726,514
16;5;7;733,258
17;5;7;722,442
17;5;7;729,834
17;5;7;722,842
17;5;7;743,302
17;5;7;724,661
18;5;7;731,613
18;5;7;734,420
18;5;7;738,553
18;5;7;708,919
18;5;7;745,284
19;5;7;731,570
19;5;7;721,236
19;5;7;730,273
19;5;7;736,555
19;5;7;746,123
20;5;7;742,038
20;5;7;725,177
20;5;7;749,513
20;5;7;733,588
20;5;7;742,352
21;5;7;741,031
21;5;7;739,981
21;5;7;749,534
21;5;7;752,302
21;5;7;731,613
22;5;7;764,595
22;5;7;744,171
22;5;7;748,151
22;5;7;752,736
22;5;7;766,147
