Threads;NImgs;RowsFilter;executionTime
1;10;7;822,726
1;10;7;828,058
1;10;7;823,112
1;10;7;818,138
1;10;7;835,978
2;10;7;420,552
2;10;7;425,531
2;10;7;423,771
2;10;7;431,421
2;10;7;426,754
3;10;7;291,805
3;10;7;285,769
3;10;7;298,826
3;10;7;307,401
3;10;7;302,239
4;10;7;219,365
4;10;7;230,588
4;10;7;220,998
4;10;7;222,592
4;10;7;222,933
5;10;7;181,423
5;10;7;184,391
5;10;7;174,751
5;10;7;180,646
5;10;7;172,176
6;10;7;157,668
6;10;7;153,799
6;10;7;162,909
6;10;7;144,287
6;10;7;146,411
7;10;7;127,213
7;10;7;129,349
7;10;7;141,887
7;10;7;131,330
7;10;7;132,991
8;10;7;121,694
8;10;7;119,116
8;10;7;122,332
8;10;7;116,354
8;10;7;119,729
9;10;7;109,606
9;10;7;119,990
9;10;7;112,235
9;10;7;117,548
9;10;7;110,339
10;10;7;105,891
10;10;7;107,282
10;10;7;106,621
10;10;7;108,381
10;10;7;107,968
11;10;7;102,436
11;10;7;105,912
11;10;7;102,115
11;10;7;102,930
11;10;7;103,288
12;10;7;99,546
12;10;7;99,007
12;10;7;100,200
12;10;7;97,396
12;10;7;98,511
13;10;7;93,711
13;10;7;93,570
13;10;7;95,774
13;10;7;95,487
13;10;7;95,240
14;10;7;92,313
14;10;7;91,415
14;10;7;91,812
14;10;7;93,727
14;10;7;90,972
15;10;7;89,178
15;10;7;89,028
15;10;7;88,371
15;10;7;89,451
15;10;7;88,354
16;10;7;86,411
16;10;7;86,071
16;10;7;86,594
16;10;7;86,233
16;10;7;86,585
17;10;7;87,352
17;10;7;87,444
17;10;7;87,471
17;10;7;87,237
17;10;7;87,808
18;10;7;88,160
18;10;7;87,059
18;10;7;86,741
18;10;7;88,051
18;10;7;88,284
19;10;7;87,128
19;10;7;88,477
19;10;7;87,824
19;10;7;87,768
19;10;7;88,676
20;10;7;88,243
20;10;7;88,406
20;10;7;87,349
20;10;7;88,137
20;10;7;87,714
21;10;7;87,623
21;10;7;87,992
21;10;7;88,120
21;10;7;88,516
21;10;7;88,293
22;10;7;86,926
22;10;7;86,391
22;10;7;86,511
22;10;7;88,141
22;10;7;87,498
