Threads;NImgs;RowsFilter;executionTime
1;5;7;427,740
1;5;7;415,659
1;5;7;427,648
1;5;7;425,755
1;5;7;410,100
2;5;7;215,583
2;5;7;225,888
2;5;7;209,468
2;5;7;219,058
2;5;7;222,166
3;5;7;151,574
3;5;7;151,514
3;5;7;154,946
3;5;7;153,345
3;5;7;153,307
4;5;7;115,280
4;5;7;114,499
4;5;7;114,901
4;5;7;122,761
4;5;7;116,435
5;5;7;100,894
5;5;7;100,187
5;5;7;97,907
5;5;7;91,604
5;5;7;89,825
6;5;7;73,145
6;5;7;77,138
6;5;7;77,218
6;5;7;72,776
6;5;7;79,066
7;5;7;64,139
7;5;7;65,957
7;5;7;71,185
7;5;7;69,479
7;5;7;72,740
8;5;7;65,628
8;5;7;62,115
8;5;7;63,006
8;5;7;61,204
8;5;7;61,294
9;5;7;55,391
9;5;7;54,904
9;5;7;60,200
9;5;7;60,349
9;5;7;56,278
10;5;7;52,145
10;5;7;56,488
10;5;7;52,417
10;5;7;53,404
10;5;7;56,670
11;5;7;53,457
11;5;7;57,051
11;5;7;54,061
11;5;7;52,682
11;5;7;51,997
12;5;7;50,735
12;5;7;49,570
12;5;7;50,339
12;5;7;50,365
12;5;7;49,260
13;5;7;47,755
13;5;7;49,004
13;5;7;49,977
13;5;7;48,946
13;5;7;47,517
14;5;7;47,419
14;5;7;46,521
14;5;7;46,667
14;5;7;46,871
14;5;7;46,773
15;5;7;45,872
15;5;7;45,065
15;5;7;45,279
15;5;7;45,135
15;5;7;45,583
16;5;7;44,763
16;5;7;43,962
16;5;7;44,145
16;5;7;44,475
16;5;7;44,470
17;5;7;44,684
17;5;7;44,416
17;5;7;44,381
17;5;7;44,321
17;5;7;43,953
18;5;7;46,471
18;5;7;44,981
18;5;7;45,262
18;5;7;46,348
18;5;7;44,905
19;5;7;45,535
19;5;7;45,258
19;5;7;45,083
19;5;7;45,566
19;5;7;45,369
20;5;7;46,646
20;5;7;45,653
20;5;7;45,401
20;5;7;45,378
20;5;7;44,559
21;5;7;46,750
21;5;7;45,250
21;5;7;45,379
21;5;7;44,930
21;5;7;44,862
22;5;7;45,408
22;5;7;45,151
22;5;7;44,234
22;5;7;44,851
22;5;7;45,375
