Threads;NImgs;RowsFilter;executionTime
1;1;7;2193,409
1;1;7;2196,555
1;1;7;2161,561
1;1;7;2178,631
1;1;7;2171,354
2;1;7;1118,673
2;1;7;1108,705
2;1;7;1110,818
2;1;7;1113,879
2;1;7;1109,271
3;1;7;949,295
3;1;7;953,705
3;1;7;958,936
3;1;7;927,782
3;1;7;970,335
4;1;7;717,289
4;1;7;728,552
4;1;7;742,721
4;1;7;719,241
4;1;7;700,987
5;1;7;595,897
5;1;7;621,198
5;1;7;618,608
5;1;7;608,738
5;1;7;612,294
6;1;7;548,440
6;1;7;566,171
6;1;7;520,728
6;1;7;538,507
6;1;7;554,650
7;1;7;518,569
7;1;7;453,212
7;1;7;453,099
7;1;7;441,980
7;1;7;465,522
8;1;7;424,701
8;1;7;411,332
8;1;7;414,693
8;1;7;410,088
8;1;7;434,286
9;1;7;428,576
9;1;7;443,827
9;1;7;402,151
9;1;7;439,941
9;1;7;453,880
10;1;7;398,328
10;1;7;411,292
10;1;7;407,740
10;1;7;408,244
10;1;7;406,766
11;1;7;382,334
11;1;7;392,671
11;1;7;387,959
11;1;7;388,441
11;1;7;378,051
12;1;7;386,869
12;1;7;397,424
12;1;7;402,340
12;1;7;401,790
12;1;7;420,452
13;1;7;391,118
13;1;7;360,181
13;1;7;362,229
13;1;7;380,331
13;1;7;372,669
14;1;7;404,056
14;1;7;368,186
14;1;7;386,405
14;1;7;394,128
14;1;7;384,033
15;1;7;349,220
15;1;7;340,052
15;1;7;377,015
15;1;7;348,338
15;1;7;359,810
16;1;7;333,564
16;1;7;350,273
16;1;7;356,223
16;1;7;360,971
16;1;7;359,200
17;1;7;360,841
17;1;7;341,289
17;1;7;364,017
17;1;7;341,359
17;1;7;372,044
18;1;7;344,759
18;1;7;340,027
18;1;7;339,563
18;1;7;329,837
18;1;7;363,827
19;1;7;344,837
19;1;7;352,465
19;1;7;325,701
19;1;7;337,067
19;1;7;348,270
20;1;7;346,573
20;1;7;330,187
20;1;7;338,801
20;1;7;341,078
20;1;7;333,657
21;1;7;343,443
21;1;7;324,862
21;1;7;356,204
21;1;7;338,619
21;1;7;318,711
22;1;7;316,259
22;1;7;330,597
22;1;7;324,653
22;1;7;321,406
22;1;7;321,712
