Threads;NImgs;RowsFilter;executionTime
1;10;7;21634,758
1;10;7;21628,739
1;10;7;21556,178
1;10;7;21579,780
1;10;7;21622,328
2;10;7;11157,837
2;10;7;11039,310
2;10;7;11076,255
2;10;7;11026,787
2;10;7;11005,603
3;10;7;9128,021
3;10;7;9187,691
3;10;7;9129,405
3;10;7;9222,663
3;10;7;9250,619
4;10;7;7500,863
4;10;7;7893,620
4;10;7;7129,421
4;10;7;7301,677
4;10;7;8010,077
5;10;7;6634,179
5;10;7;6410,764
5;10;7;7596,647
5;10;7;7180,143
5;10;7;7060,483
6;10;7;6177,661
6;10;7;6386,952
6;10;7;5965,562
6;10;7;5823,403
6;10;7;6127,065
7;10;7;5538,086
7;10;7;5107,107
7;10;7;5443,093
7;10;7;5096,082
7;10;7;5796,904
8;10;7;4391,002
8;10;7;4715,835
8;10;7;4810,656
8;10;7;4725,877
8;10;7;4905,063
9;10;7;4293,762
9;10;7;4473,725
9;10;7;4334,469
9;10;7;4753,853
9;10;7;4328,200
10;10;7;3777,644
10;10;7;3995,538
10;10;7;4023,572
10;10;7;4087,277
10;10;7;4083,638
11;10;7;3868,029
11;10;7;3916,850
11;10;7;3662,780
11;10;7;3718,437
11;10;7;3847,050
12;10;7;3604,221
12;10;7;3694,195
12;10;7;3564,524
12;10;7;3796,737
12;10;7;3725,493
13;10;7;3290,402
13;10;7;3589,583
13;10;7;3617,940
13;10;7;3620,433
13;10;7;3479,519
14;10;7;3356,360
14;10;7;3254,080
14;10;7;3328,797
14;10;7;3312,948
14;10;7;3293,056
15;10;7;3155,386
15;10;7;3319,621
15;10;7;3402,704
15;10;7;3288,850
15;10;7;3153,287
16;10;7;3104,070
16;10;7;3047,645
16;10;7;3190,273
16;10;7;3191,887
16;10;7;3261,242
17;10;7;3097,760
17;10;7;3046,510
17;10;7;3046,175
17;10;7;3066,869
17;10;7;3153,843
18;10;7;3030,750
18;10;7;3015,921
18;10;7;3110,856
18;10;7;3019,597
18;10;7;3283,594
19;10;7;3108,071
19;10;7;3140,998
19;10;7;3011,645
19;10;7;3174,437
19;10;7;3242,448
20;10;7;3033,633
20;10;7;3133,373
20;10;7;3186,054
20;10;7;3129,998
20;10;7;3153,474
21;10;7;3077,688
21;10;7;3102,845
21;10;7;3080,609
21;10;7;3208,742
21;10;7;3140,146
22;10;7;3051,736
22;10;7;2970,061
22;10;7;2961,810
22;10;7;3012,405
22;10;7;3000,362
