Threads;NImgs;RowsFilter;executionTime
1;5;7;10988,844
1;5;7;10836,656
1;5;7;10841,336
1;5;7;10805,349
1;5;7;10770,405
2;5;7;5556,761
2;5;7;5529,754
2;5;7;5513,624
2;5;7;5539,874
2;5;7;5535,560
3;5;7;4683,335
3;5;7;4625,398
3;5;7;4742,465
3;5;7;4722,810
3;5;7;4747,825
4;5;7;3785,569
4;5;7;3500,504
4;5;7;3502,671
4;5;7;3785,266
4;5;7;4014,280
5;5;7;3223,702
5;5;7;3758,316
5;5;7;3637,296
5;5;7;3284,718
5;5;7;3506,757
6;5;7;3582,523
6;5;7;2962,025
6;5;7;3070,760
6;5;7;3046,460
6;5;7;3317,846
7;5;7;2820,056
7;5;7;3042,480
7;5;7;2660,690
7;5;7;2796,564
7;5;7;2844,124
8;5;7;2228,193
8;5;7;2624,729
8;5;7;2543,374
8;5;7;2466,719
8;5;7;2388,784
9;5;7;2371,148
9;5;7;2094,812
9;5;7;2482,202
9;5;7;2319,509
9;5;7;2373,687
10;5;7;2226,895
10;5;7;2084,686
10;5;7;2253,996
10;5;7;2120,808
10;5;7;2060,171
11;5;7;1902,082
11;5;7;2154,717
11;5;7;2111,443
11;5;7;1980,494
11;5;7;2044,961
12;5;7;1777,659
12;5;7;1814,058
12;5;7;1706,255
12;5;7;1759,863
12;5;7;1823,811
13;5;7;1718,610
13;5;7;1700,050
13;5;7;1769,861
13;5;7;1712,213
13;5;7;1787,333
14;5;7;1715,103
14;5;7;1757,432
14;5;7;1706,802
14;5;7;1647,749
14;5;7;1684,363
15;5;7;1632,994
15;5;7;1682,170
15;5;7;1536,926
15;5;7;1680,184
15;5;7;1619,036
16;5;7;1567,794
16;5;7;1588,250
16;5;7;1603,768
16;5;7;1553,220
16;5;7;1572,544
17;5;7;1555,341
17;5;7;1537,080
17;5;7;1637,222
17;5;7;1514,794
17;5;7;1594,496
18;5;7;1525,885
18;5;7;1523,188
18;5;7;1526,066
18;5;7;1563,359
18;5;7;1569,914
19;5;7;1555,970
19;5;7;1534,189
19;5;7;1560,424
19;5;7;1519,668
19;5;7;1581,293
20;5;7;1614,500
20;5;7;1579,390
20;5;7;1616,349
20;5;7;1506,818
20;5;7;1550,084
21;5;7;1513,552
21;5;7;1626,039
21;5;7;1594,664
21;5;7;1580,081
21;5;7;1533,853
22;5;7;1623,214
22;5;7;1538,358
22;5;7;1562,045
22;5;7;1517,454
22;5;7;1495,638
